Rank,Player,Height (cm),Minutes played 17/18,Headed Goals Scored 17/18,Goals Scored 17/18,Minutes played 16/17,Headed Goals Scored 16/17,Goals Scored 16/17,Minutes played 15/16,Headed Goals Scored 15/16,Goals Scored 15/16,Minutes played 14/15,Headed Goals Scored 14/15,Goals Scored 14/15,Total Headed Goals Scored,Total Goals Scored,Total Minutes Played
103,Jerome Sinclair,181,29,0,0,114,0,0,0,0,0,25,0,0,0,0,168
104,Callum Hudson-Odoi,182,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27
105,Levi Lumeka,170,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
106,Jordan Hugill,183,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
107,Julien Ngoy,185,19,0,0,44,0,0,0,0,0,0,0,0,0,0,63
108,Eddie Nketiah,175,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17
109,Freddie Ladapo,187,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
110,Lukas Nmecha,183,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14
111,Divock Origi,185,9,0,0,1459,1,7,666,2,5,0,0,0,3,12,2134
112,Michael Obafemi,169,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
113,Ben Woodburn,175,6,0,0,83,0,0,0,0,0,0,0,0,0,0,89
114,Vincent Janssen,183,1,0,0,832,0,2,0,0,0,0,0,0,0,2,833
114,Dwight McNeil,193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Average minutes,,1192.765217,2.25,6.975,1183.282051,2.25,6.698795181,1099.761905,2.325,5.56626506,1211.654545,2.4,7.783333333,9.225,27.02339357,4687.463719
